,year,epiweek,geo_code,hhs,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness
14,2017,43,AL,4,3.93,0.13,7.76,2.67,5.09,6.12,3.62,5.01,0.93,1.79,1.83,0.31,0.29,0.65
15,2017,44,AL,4,4.15,0.19,8.36,2.92,5.11,5.94,3.75,4.71,0.89,1.68,1.83,0.32,0.27,0.59
16,2017,45,AL,4,4.18,0.16,8.91,3.07,5.54,5.73,3.59,4.85,0.9,1.7,1.86,0.29,0.27,0.56
17,2017,46,AL,4,4.24,0.14,9.08,3.15,5.19,5.5,3.51,4.71,0.91,1.69,1.83,0.31,0.27,0.54
18,2017,47,AL,4,4.04,0.13,9.22,3.04,4.93,4.76,3.46,4.46,0.79,1.58,1.66,0.3,0.23,0.4
19,2017,48,AL,4,4.33,0.14,9.65,3.16,5.37,5.54,3.63,4.68,0.89,1.72,1.74,0.29,0.26,0.51
20,2017,49,AL,4,4.34,0.14,9.42,3.0,4.94,5.17,3.57,4.54,0.84,1.66,1.57,0.29,0.23,0.49
21,2017,50,AL,4,5.09,0.17,10.68,3.28,4.89,5.17,3.93,4.68,0.85,1.56,1.63,0.27,0.23,0.46
22,2017,51,AL,4,6.29,0.29,13.49,3.55,5.06,5.32,4.33,5.17,0.88,1.68,1.74,0.25,0.22,0.39
23,2017,52,AL,4,6.36,0.28,14.61,3.8,5.25,5.41,4.38,5.09,0.82,1.72,1.64,0.25,0.22,0.4
24,2017,34,AK,10,3.7,0.0,5.32,2.26,4.7,5.25,3.14,4.6,0.71,1.43,1.95,0.31,0.29,0.52
25,2017,35,AK,10,3.9,0.15,6.5,2.9,4.47,5.26,3.06,4.61,0.68,1.32,1.75,0.17,0.0,0.44
26,2017,36,AK,10,4.12,0.0,7.03,3.0,4.92,5.39,3.58,4.79,0.61,1.23,1.69,0.17,0.17,0.4
27,2017,37,AK,10,3.89,0.0,6.73,2.52,4.81,5.87,3.17,4.91,0.55,1.48,2.0,0.0,0.33,0.46
28,2017,38,AK,10,4.13,0.25,7.05,2.52,4.96,5.97,3.17,4.78,0.89,1.53,1.78,0.12,0.29,0.68
29,2017,39,AK,10,4.07,0.13,6.82,2.75,4.95,5.88,3.14,4.81,0.79,1.53,1.94,0.19,0.16,0.54
30,2017,40,AK,10,4.0,0.2,6.67,2.36,4.84,5.93,3.15,4.55,0.9,1.43,1.8,0.27,0.15,0.38
31,2017,41,AK,10,4.03,0.0,7.39,2.7,4.9,5.98,3.25,4.8,0.89,1.55,1.8,0.35,0.45,0.43
32,2017,42,AK,10,4.65,0.16,7.74,2.83,5.31,5.9,3.64,5.05,0.9,1.39,1.8,0.3,0.43,0.53
33,2017,43,AK,10,4.19,0.23,8.08,2.6,5.04,5.85,3.6,5.37,0.72,1.44,1.98,0.34,0.29,0.43
34,2017,44,AK,10,4.36,0.0,7.39,2.77,5.21,5.99,3.37,4.98,0.83,1.44,1.75,0.4,0.35,0.54
35,2017,45,AK,10,4.78,0.14,7.35,2.98,5.77,5.64,3.35,4.68,0.7,1.57,1.97,0.26,0.0,0.51
36,2017,46,AK,10,4.48,0.13,7.67,2.78,5.14,5.54,3.23,4.75,0.78,1.63,1.88,0.39,0.35,0.49
37,2017,47,AK,10,4.72,0.0,7.37,3.0,4.85,4.97,3.34,4.71,0.85,1.43,1.73,0.27,0.26,0.52
38,2017,48,AK,10,5.18,0.21,8.58,3.4,5.23,5.53,3.53,5.09,0.88,1.58,1.88,0.29,0.25,0.67
39,2017,49,AK,10,4.83,0.15,8.48,2.98,4.99,5.45,3.76,4.9,0.72,1.49,1.98,0.29,0.25,0.59
40,2017,50,AK,10,4.85,0.19,8.29,3.01,5.17,5.25,3.81,5.22,0.78,1.48,1.77,0.32,0.22,0.39
41,2017,51,AK,10,4.8,0.0,8.46,3.31,4.8,5.29,3.65,5.07,0.73,1.7,1.72,0.39,0.21,0.39
42,2017,52,AK,10,5.38,0.38,9.87,3.42,5.4,5.21,4.34,5.65,0.49,1.72,2.02,0.26,0.29,0.71
43,2017,34,AZ,9,4.38,0.12,5.83,2.94,5.04,5.69,3.18,4.95,0.74,1.4,1.94,0.29,0.24,0.53
44,2017,35,AZ,9,4.37,0.13,6.03,2.79,4.93,5.93,3.21,5.02,0.77,1.47,1.98,0.31,0.25,0.56
45,2017,36,AZ,9,4.23,0.11,5.77,2.42,4.9,5.89,3.42,4.97,0.81,1.47,1.96,0.29,0.25,0.53
46,2017,37,AZ,9,4.09,0.12,5.41,2.33,5.08,6.53,3.17,4.99,0.79,1.48,2.03,0.32,0.25,0.6
47,2017,38,AZ,9,4.15,0.11,5.54,2.27,5.1,6.3,3.1,4.87,0.85,1.48,1.93,0.32,0.24,0.55
48,2017,39,AZ,9,4.33,0.12,5.75,2.31,5.05,6.17,3.14,4.84,0.84,1.51,1.93,0.31,0.25,0.56
49,2017,40,AZ,9,4.09,0.15,5.75,2.32,4.86,5.99,3.07,4.7,0.86,1.54,1.94,0.3,0.25,0.53
50,2017,41,AZ,9,4.27,0.12,6.33,2.38,5.18,6.05,3.29,4.85,0.91,1.6,2.05,0.3,0.24,0.54
51,2017,42,AZ,9,4.39,0.12,6.23,2.41,5.15,6.18,3.42,4.96,0.87,1.61,2.04,0.33,0.26,0.54
52,2017,43,AZ,9,4.5,0.15,6.43,2.48,5.15,6.19,3.54,5.09,0.86,1.49,2.04,0.31,0.28,0.55
53,2017,44,AZ,9,4.51,0.14,6.46,2.6,4.97,5.91,3.37,4.82,0.81,1.54,1.94,0.3,0.27,0.55
54,2017,45,AZ,9,4.66,0.15,6.86,2.69,5.35,5.75,3.4,4.9,0.81,1.54,2.02,0.31,0.26,0.51
55,2017,46,AZ,9,4.74,0.14,7.23,2.8,5.24,5.52,3.29,4.76,0.77,1.51,2.01,0.34,0.26,0.49
56,2017,47,AZ,9,4.61,0.15,7.41,2.79,4.67,4.94,3.29,4.64,0.74,1.39,1.77,0.3,0.21,0.4
57,2017,48,AZ,9,5.09,0.16,8.29,3.02,5.05,5.33,3.37,4.9,0.79,1.45,1.89,0.33,0.26,0.47
58,2017,49,AZ,9,5.36,0.16,8.91,3.02,4.66,5.16,3.45,4.64,0.77,1.42,1.74,0.3,0.23,0.47
59,2017,50,AZ,9,6.22,0.23,10.38,3.46,4.69,4.99,3.58,4.61,0.78,1.43,1.7,0.28,0.22,0.41
60,2017,51,AZ,9,7.21,0.34,12.89,3.96,4.59,4.75,3.74,4.71,0.78,1.44,1.7,0.26,0.19,0.36
61,2017,52,AZ,9,9.3,0.4,16.92,4.56,5.21,5.05,4.31,5.24,0.84,1.6,1.86,0.25,0.19,0.37
62,2017,34,AR,6,3.7,0.12,4.84,2.08,5.14,5.75,3.2,5.04,0.78,1.68,1.76,0.3,0.26,0.52
63,2017,35,AR,6,3.77,0.12,5.83,2.61,4.75,5.75,3.29,5.02,0.81,1.68,1.8,0.31,0.24,0.51
64,2017,36,AR,6,4.08,0.1,6.48,2.61,4.88,5.89,3.75,5.03,0.83,1.7,1.77,0.31,0.27,0.46
65,2017,37,AR,6,3.87,0.1,6.27,2.43,4.78,6.08,3.37,5.12,0.82,1.66,1.76,0.3,0.27,0.59
66,2017,38,AR,6,3.98,0.14,6.22,2.49,5.05,6.42,3.39,5.09,0.91,1.74,1.81,0.33,0.24,0.54
67,2017,39,AR,6,3.94,0.12,6.12,2.28,5.07,6.18,3.45,5.04,0.93,1.69,1.87,0.37,0.28,0.55
68,2017,40,AR,6,3.81,0.13,6.15,2.32,4.85,6.27,3.44,4.92,0.8,1.72,1.83,0.33,0.24,0.53
69,2017,41,AR,6,3.98,0.16,6.47,2.34,4.92,6.18,3.44,5.07,0.84,1.71,1.84,0.34,0.26,0.49
70,2017,42,AR,6,4.31,0.1,7.06,2.47,4.91,6.18,3.63,5.12,0.87,1.7,1.89,0.35,0.26,0.54
71,2017,43,AR,6,4.27,0.15,7.76,2.69,5.06,6.08,3.48,4.93,0.92,1.81,1.82,0.29,0.3,0.46
72,2017,44,AR,6,4.46,0.21,8.46,2.8,5.08,5.92,3.44,4.79,0.85,1.75,1.79,0.3,0.25,0.51
73,2017,45,AR,6,4.68,0.17,8.97,3.05,5.43,5.83,3.44,4.8,0.89,1.65,1.8,0.31,0.29,0.48
74,2017,46,AR,6,4.81,0.17,9.4,3.18,5.11,5.64,3.35,4.6,0.88,1.75,1.72,0.37,0.27,0.49
75,2017,47,AR,6,4.77,0.17,10.17,3.25,5.18,5.1,3.5,4.71,0.81,1.71,1.7,0.35,0.25,0.39
76,2017,48,AR,6,4.72,0.17,9.7,3.11,5.39,5.67,3.38,4.71,0.83,1.69,1.72,0.37,0.29,0.5
77,2017,49,AR,6,4.83,0.19,9.58,2.99,4.71,5.52,3.35,4.38,0.76,1.64,1.66,0.3,0.24,0.44
78,2017,50,AR,6,6.04,0.27,11.37,3.37,4.83,5.54,3.57,4.59,0.82,1.6,1.7,0.28,0.24,0.44
79,2017,51,AR,6,7.29,0.35,14.6,3.95,5.21,5.76,4.04,4.83,0.84,1.77,1.77,0.29,0.19,0.41
80,2017,52,AR,6,7.35,0.27,15.81,4.11,5.58,5.78,4.28,5.17,0.81,1.89,1.83,0.27,0.22,0.4
81,2017,34,CA,9,3.67,0.12,4.59,2.06,4.5,5.21,2.93,4.55,0.66,1.23,1.8,0.29,0.21,0.49
82,2017,35,CA,9,4.08,0.14,5.01,2.29,4.31,5.14,2.95,4.59,0.68,1.21,1.73,0.3,0.21,0.47
83,2017,36,CA,9,3.92,0.13,5.45,2.3,4.33,5.29,3.22,4.61,0.69,1.26,1.76,0.31,0.23,0.48
84,2017,37,CA,9,3.92,0.14,5.43,2.25,4.36,5.97,2.9,4.57,0.71,1.25,1.75,0.31,0.21,0.49
85,2017,38,CA,9,4.18,0.14,6.12,2.4,4.56,6.05,3.0,4.58,0.72,1.31,1.78,0.32,0.23,0.49
86,2017,39,CA,9,4.34,0.16,6.37,2.45,4.58,5.82,3.0,4.54,0.77,1.29,1.8,0.33,0.22,0.5
87,2017,40,CA,9,3.97,0.14,6.16,2.29,4.38,5.47,2.9,4.29,0.71,1.31,1.72,0.32,0.22,0.47
88,2017,41,CA,9,3.89,0.13,6.29,2.24,4.29,5.28,2.93,4.27,0.85,1.28,1.71,0.32,0.22,0.46
89,2017,42,CA,9,4.12,0.14,6.55,2.39,4.5,5.57,3.11,4.46,0.74,1.35,1.78,0.34,0.23,0.49
90,2017,43,CA,9,4.26,0.15,6.49,2.42,4.59,5.51,3.25,4.74,0.76,1.32,1.85,0.34,0.23,0.49
91,2017,44,CA,9,3.88,0.14,6.44,2.38,4.46,5.07,3.15,4.38,0.7,1.3,1.7,0.31,0.22,0.45
92,2017,45,CA,9,4.15,0.14,6.93,2.6,4.82,5.15,3.14,4.4,0.72,1.34,1.78,0.32,0.23,0.45
93,2017,46,CA,9,4.21,0.14,7.11,2.6,4.71,4.97,3.04,4.26,0.7,1.31,1.73,0.33,0.23,0.43
94,2017,47,CA,9,4.11,0.14,7.23,2.75,4.61,4.64,3.21,4.36,0.69,1.28,1.68,0.3,0.2,0.38
95,2017,48,CA,9,4.19,0.13,7.43,2.7,4.62,4.87,3.15,4.32,0.69,1.27,1.65,0.34,0.22,0.41
96,2017,49,CA,9,4.27,0.14,7.71,2.7,4.26,4.65,3.23,4.12,0.7,1.2,1.53,0.32,0.21,0.4
97,2017,50,CA,9,4.93,0.19,8.61,3.03,4.31,4.63,3.54,4.44,0.69,1.24,1.57,0.31,0.21,0.39
98,2017,51,CA,9,5.92,0.27,10.86,3.63,4.3,4.34,4.11,4.87,0.66,1.27,1.55,0.26,0.18,0.33
99,2017,52,CA,9,8.09,0.41,15.12,4.38,5.05,4.74,4.86,5.64,0.74,1.45,1.75,0.25,0.18,0.34
100,2017,34,CO,8,3.05,0.1,4.34,1.91,4.11,4.48,2.61,3.99,0.58,1.08,1.56,0.2,0.18,0.37
101,2017,35,CO,8,3.2,0.11,4.9,2.12,4.0,4.53,2.58,4.13,0.6,1.07,1.55,0.26,0.2,0.4
102,2017,36,CO,8,3.21,0.1,5.25,2.05,3.91,4.54,2.87,4.02,0.64,1.11,1.5,0.23,0.2,0.39
103,2017,37,CO,8,3.1,0.09,4.96,1.92,3.99,5.02,2.63,4.11,0.63,1.16,1.55,0.23,0.21,0.41
104,2017,38,CO,8,3.12,0.1,5.06,1.91,4.04,4.84,2.6,4.04,0.65,1.14,1.47,0.25,0.21,0.4
105,2017,39,CO,8,3.1,0.1,5.11,1.86,4.04,4.7,2.56,4.01,0.62,1.17,1.5,0.25,0.21,0.36
106,2017,40,CO,8,3.13,0.09,5.46,2.05,4.08,4.58,2.6,3.85,0.62,1.23,1.49,0.23,0.2,0.37
107,2017,41,CO,8,3.3,0.11,5.82,2.1,4.17,4.64,2.69,4.0,0.66,1.21,1.53,0.27,0.23,0.39
108,2017,42,CO,8,3.42,0.12,6.06,2.19,4.38,4.88,2.93,4.09,0.65,1.25,1.58,0.27,0.21,0.4
109,2017,43,CO,8,3.4,0.11,6.12,2.13,4.29,4.76,3.08,4.19,0.61,1.21,1.6,0.26,0.22,0.41
110,2017,44,CO,8,3.41,0.11,6.23,2.25,4.18,4.57,3.02,4.14,0.64,1.2,1.51,0.26,0.23,0.39
111,2017,45,CO,8,3.73,0.13,6.58,2.33,4.48,4.56,3.04,4.22,0.62,1.22,1.6,0.26,0.24,0.39
112,2017,46,CO,8,3.89,0.14,6.83,2.4,4.47,4.54,3.11,4.21,0.63,1.22,1.6,0.26,0.23,0.37
113,2017,47,CO,8,3.73,0.12,6.77,2.44,4.12,4.17,3.26,4.28,0.63,1.18,1.49,0.24,0.2,0.3
114,2017,48,CO,8,3.93,0.13,6.94,2.48,4.5,4.55,3.26,4.38,0.63,1.19,1.48,0.29,0.23,0.34
115,2017,49,CO,8,3.89,0.13,7.1,2.47,4.05,4.35,3.56,4.31,0.56,1.16,1.44,0.25,0.21,0.35
116,2017,50,CO,8,4.29,0.15,7.69,2.59,4.11,4.36,3.67,4.49,0.63,1.16,1.44,0.25,0.2,0.33
117,2017,51,CO,8,4.58,0.18,8.72,2.93,3.99,3.91,3.84,4.67,0.6,1.17,1.4,0.23,0.2,0.3
118,2017,52,CO,8,5.2,0.21,10.14,3.15,4.44,4.12,4.14,5.04,0.64,1.29,1.49,0.19,0.17,0.29
119,2017,34,CT,1,3.07,0.11,4.02,1.75,4.67,5.08,2.87,4.79,0.69,1.31,1.73,0.23,0.17,0.48
120,2017,35,CT,1,2.94,0.09,4.16,1.77,4.09,4.89,2.65,4.4,0.63,1.29,1.58,0.26,0.21,0.45
121,2017,36,CT,1,3.14,0.11,4.77,2.04,4.1,4.84,2.92,4.18,0.7,1.28,1.56,0.27,0.22,0.44
122,2017,37,CT,1,3.65,0.14,5.62,2.49,4.43,5.42,2.73,4.27,0.75,1.25,1.67,0.28,0.19,0.49
123,2017,38,CT,1,3.62,0.16,5.92,2.41,4.57,5.41,2.73,4.29,0.77,1.31,1.66,0.31,0.21,0.49
124,2017,39,CT,1,3.46,0.12,5.77,2.12,4.45,5.34,2.68,4.28,0.75,1.26,1.68,0.31,0.18,0.49
125,2017,40,CT,1,3.35,0.13,5.81,2.03,4.37,5.23,2.67,4.16,0.75,1.4,1.66,0.29,0.19,0.5
126,2017,41,CT,1,3.35,0.1,5.76,2.01,4.51,5.32,2.79,4.32,0.79,1.42,1.71,0.35,0.23,0.48
127,2017,42,CT,1,3.54,0.11,6.09,2.12,4.48,5.32,2.76,4.16,0.8,1.44,1.64,0.33,0.22,0.5
128,2017,43,CT,1,3.6,0.13,6.25,2.18,4.58,5.32,2.89,4.33,0.81,1.4,1.71,0.33,0.23,0.54
129,2017,44,CT,1,3.55,0.14,6.5,2.31,4.41,4.96,2.65,4.02,0.75,1.37,1.61,0.31,0.22,0.47
130,2017,45,CT,1,3.83,0.14,7.15,2.5,4.73,4.99,2.73,4.14,0.75,1.35,1.64,0.32,0.2,0.44
131,2017,46,CT,1,3.81,0.13,7.47,2.52,4.53,4.86,2.77,4.08,0.76,1.34,1.66,0.34,0.22,0.44
132,2017,47,CT,1,3.66,0.13,7.73,2.68,4.26,4.52,2.91,4.06,0.72,1.37,1.56,0.31,0.18,0.35
133,2017,48,CT,1,4.03,0.13,8.27,2.79,4.56,4.97,3.01,4.3,0.78,1.32,1.59,0.36,0.23,0.47
134,2017,49,CT,1,4.01,0.14,8.16,2.72,4.36,4.94,3.11,4.38,0.71,1.35,1.51,0.32,0.19,0.44
135,2017,50,CT,1,4.06,0.15,8.28,2.69,4.29,4.64,3.17,4.39,0.74,1.27,1.44,0.3,0.18,0.42
136,2017,51,CT,1,4.15,0.17,8.79,2.98,4.15,4.46,3.42,4.51,0.66,1.3,1.47,0.29,0.2,0.38
137,2017,52,CT,1,4.79,0.2,10.63,3.3,4.47,4.4,4.13,5.11,0.67,1.43,1.51,0.24,0.18,0.35
138,2017,34,DE,3,2.72,0.08,3.8,1.65,4.23,4.69,2.74,4.37,0.63,1.42,1.72,0.24,0.17,0.33
139,2017,35,DE,3,2.7,0.16,3.99,1.83,4.03,4.61,2.59,4.26,0.69,1.35,1.54,0.29,0.22,0.42
140,2017,36,DE,3,3.16,0.0,4.83,1.97,4.07,4.68,2.87,3.95,0.56,1.4,1.54,0.24,0.22,0.44
141,2017,37,DE,3,3.55,0.19,5.71,2.48,4.53,5.27,2.85,4.14,0.79,1.35,1.65,0.36,0.21,0.42
142,2017,38,DE,3,3.7,0.09,6.2,2.59,4.38,5.22,2.95,4.12,0.78,1.45,1.67,0.25,0.25,0.45
143,2017,39,DE,3,3.47,0.06,5.99,2.14,4.31,5.26,2.77,4.16,0.71,1.45,1.64,0.24,0.16,0.44
144,2017,40,DE,3,3.33,0.16,5.64,2.09,4.25,5.32,2.67,3.96,0.91,1.37,1.54,0.29,0.23,0.42
145,2017,41,DE,3,3.32,0.09,5.23,2.05,4.42,5.21,2.73,4.13,0.77,1.46,1.72,0.36,0.26,0.56
146,2017,42,DE,3,3.38,0.11,5.79,2.06,4.58,5.17,2.78,4.17,0.72,1.36,1.6,0.28,0.29,0.55
147,2017,43,DE,3,3.46,0.1,6.18,2.32,4.39,5.13,2.85,4.31,0.76,1.42,1.69,0.27,0.31,0.51
148,2017,44,DE,3,3.46,0.05,6.32,2.3,4.36,4.92,2.92,4.02,0.67,1.4,1.56,0.33,0.21,0.46
149,2017,45,DE,3,3.54,0.13,6.75,2.49,4.57,4.94,2.89,3.96,0.69,1.39,1.6,0.23,0.2,0.45
150,2017,46,DE,3,3.69,0.07,7.44,2.48,4.65,4.93,2.91,3.87,0.81,1.48,1.58,0.38,0.23,0.39
151,2017,47,DE,3,3.36,0.0,6.97,2.56,4.03,4.37,2.82,3.98,0.73,1.33,1.4,0.27,0.25,0.33
152,2017,48,DE,3,3.88,0.16,8.02,2.6,4.7,4.92,3.12,4.33,0.71,1.39,1.56,0.32,0.25,0.43
153,2017,49,DE,3,3.82,0.11,7.75,2.58,4.35,4.74,3.34,4.14,0.72,1.41,1.48,0.24,0.17,0.34
154,2017,50,DE,3,4.03,0.12,8.12,2.72,4.37,4.7,3.46,4.48,0.7,1.4,1.46,0.32,0.17,0.4
155,2017,51,DE,3,4.07,0.22,8.78,2.73,4.33,4.26,3.73,4.73,0.7,1.41,1.56,0.28,0.24,0.34
156,2017,52,DE,3,4.48,0.16,10.23,3.08,4.24,4.29,4.1,4.98,0.69,1.49,1.36,0.19,0.13,0.31
157,2017,34,DC,3,2.76,0.0,3.51,1.58,4.0,4.21,2.24,3.37,0.46,0.95,1.28,0.19,0.16,0.4
158,2017,35,DC,3,2.83,0.06,3.86,1.72,3.59,4.0,2.42,3.46,0.55,0.97,1.34,0.19,0.14,0.4
159,2017,36,DC,3,2.86,0.15,4.68,2.07,3.5,4.09,2.64,3.39,0.49,1.01,1.26,0.3,0.18,0.3
160,2017,37,DC,3,2.97,0.04,4.73,2.04,3.73,4.75,2.36,3.56,0.56,0.95,1.36,0.28,0.11,0.39
161,2017,38,DC,3,3.16,0.11,4.92,2.06,3.84,4.75,2.35,3.55,0.52,0.99,1.26,0.29,0.15,0.4
162,2017,39,DC,3,2.96,0.08,4.93,1.98,3.8,4.61,2.22,3.46,0.62,1.09,1.32,0.3,0.18,0.44
163,2017,40,DC,3,3.06,0.14,5.02,2.04,3.74,4.51,2.35,3.45,0.57,1.01,1.34,0.3,0.15,0.38
164,2017,41,DC,3,2.98,0.07,5.03,1.94,3.69,4.53,2.4,3.5,0.59,1.06,1.41,0.3,0.18,0.34
165,2017,42,DC,3,3.06,0.15,5.14,1.91,3.71,4.42,2.42,3.35,0.63,1.13,1.27,0.31,0.19,0.39
166,2017,43,DC,3,3.19,0.07,5.39,1.95,3.76,4.34,2.48,3.55,0.56,1.0,1.38,0.29,0.17,0.42
167,2017,44,DC,3,3.1,0.09,5.64,2.14,3.79,4.27,2.4,3.36,0.59,1.07,1.37,0.27,0.21,0.41
168,2017,45,DC,3,3.43,0.09,5.81,2.31,4.0,4.11,2.49,3.42,0.57,1.1,1.29,0.26,0.14,0.38
169,2017,46,DC,3,3.52,0.09,6.37,2.41,4.16,4.26,2.67,3.55,0.6,1.11,1.36,0.28,0.16,0.4
170,2017,47,DC,3,3.36,0.13,6.38,2.28,3.63,3.79,2.63,3.62,0.55,1.09,1.22,0.28,0.17,0.27
171,2017,48,DC,3,3.68,0.1,6.91,2.5,4.28,4.46,2.94,3.8,0.64,1.08,1.36,0.31,0.18,0.35
172,2017,49,DC,3,3.5,0.1,7.11,2.42,4.05,4.17,3.0,3.87,0.59,1.18,1.3,0.24,0.18,0.38
173,2017,50,DC,3,3.62,0.13,6.59,2.54,3.85,4.01,3.13,3.82,0.59,1.05,1.3,0.23,0.19,0.37
174,2017,51,DC,3,3.95,0.16,7.38,2.63,3.72,4.01,3.34,4.16,0.5,1.11,1.35,0.23,0.09,0.31
175,2017,52,DC,3,4.18,0.13,8.39,2.58,3.9,3.92,3.26,4.27,0.58,0.91,1.26,0.26,0.11,0.33
176,2017,34,FL,4,3.64,0.13,5.33,2.31,4.84,5.25,3.06,4.63,0.76,1.45,1.87,0.26,0.22,0.52
177,2017,35,FL,4,3.95,0.14,6.13,2.65,4.72,5.35,3.13,4.72,0.79,1.48,1.87,0.28,0.22,0.53
178,2017,36,FL,4,3.04,0.11,5.08,2.09,3.59,3.68,2.67,3.66,0.58,1.14,1.28,0.2,0.19,0.35
179,2017,37,FL,4,3.13,0.1,5.22,1.91,4.14,4.93,2.79,4.27,0.69,1.28,1.56,0.26,0.18,0.43
180,2017,38,FL,4,3.43,0.12,5.51,2.01,4.55,5.68,3.03,4.55,0.81,1.44,1.78,0.3,0.22,0.53
181,2017,39,FL,4,3.58,0.13,5.54,2.06,4.6,5.59,3.08,4.66,0.85,1.48,1.84,0.29,0.23,0.53
182,2017,40,FL,4,3.57,0.12,5.69,2.11,4.52,5.53,3.04,4.6,0.81,1.54,1.8,0.31,0.23,0.52
183,2017,41,FL,4,3.83,0.14,6.19,2.3,4.68,5.63,3.15,4.7,0.83,1.53,1.93,0.32,0.24,0.53
184,2017,42,FL,4,4.03,0.14,6.56,2.43,4.75,5.67,3.25,4.71,0.84,1.56,1.93,0.32,0.24,0.53
185,2017,43,FL,4,4.11,0.14,6.96,2.5,4.7,5.52,3.25,4.72,0.84,1.53,1.93,0.32,0.25,0.52
186,2017,44,FL,4,4.17,0.15,7.34,2.62,4.72,5.28,3.21,4.49,0.81,1.48,1.88,0.3,0.23,0.52
187,2017,45,FL,4,4.33,0.17,7.71,2.68,5.11,5.44,3.3,4.67,0.84,1.51,1.98,0.3,0.24,0.53
188,2017,46,FL,4,4.31,0.15,7.68,2.61,4.91,5.23,3.25,4.63,0.81,1.47,1.95,0.32,0.24,0.51
189,2017,47,FL,4,3.99,0.14,7.61,2.56,4.52,4.66,3.26,4.55,0.75,1.43,1.77,0.3,0.2,0.41
190,2017,48,FL,4,4.31,0.15,7.89,2.68,4.96,5.18,3.3,4.62,0.83,1.46,1.88,0.33,0.23,0.48
191,2017,49,FL,4,4.14,0.15,7.7,2.53,4.64,4.97,3.34,4.47,0.77,1.43,1.79,0.31,0.23,0.46
192,2017,50,FL,4,4.37,0.17,8.18,2.7,4.48,4.69,3.56,4.63,0.76,1.39,1.76,0.28,0.22,0.41
193,2017,51,FL,4,4.71,0.2,9.07,3.04,4.52,4.68,3.57,4.74,0.73,1.41,1.79,0.25,0.21,0.4
194,2017,52,FL,4,4.93,0.2,10.31,3.11,4.72,4.64,3.73,4.87,0.72,1.45,1.81,0.23,0.18,0.38
195,2017,34,GA,4,3.63,0.12,5.58,2.53,4.84,5.34,2.96,4.31,0.69,1.44,1.69,0.26,0.22,0.47
196,2017,35,GA,4,3.68,0.12,5.92,2.47,4.48,5.25,3.01,4.31,0.69,1.45,1.62,0.25,0.23,0.5
197,2017,36,GA,4,3.39,0.11,5.81,2.21,4.23,4.81,3.06,4.02,0.68,1.36,1.47,0.25,0.25,0.42
198,2017,37,GA,4,3.24,0.11,5.56,2.02,4.45,5.27,2.97,4.16,0.72,1.43,1.63,0.27,0.23,0.44
199,2017,38,GA,4,3.44,0.12,5.7,2.15,4.64,5.82,3.05,4.36,0.76,1.47,1.66,0.29,0.23,0.53
